subj,task,attach_site,itemN,rt
10,window,high,20,261.5
10,window,high,21,318.3
10,window,high,22,429.5
10,window,high,23,273.2
10,window,high,24,299.7
11,window,low,1,523.4
11,window,low,2,399.9
11,window,low,3,204.6
11,window,low,4,311.4
11,window,low,5,361.6
11,window,low,6,330.4
11,window,low,7,423
11,window,low,8,272.6
11,window,low,9,541.4
11,window,low,10,283.7
11,window,low,11,234.3
11,window,low,12,387.7
11,window,high,13,453.2
11,window,high,14,336.1
11,window,high,15,1164.2
11,window,high,16,1001.3
11,window,high,17,329.9
11,window,high,18,669.5
11,window,high,19,953.2
11,window,high,20,365.1
11,window,high,21,406.7
11,window,high,22,441.3
11,window,high,23,333.4
11,window,high,24,351.7
12,window,low,1,333.1
12,window,low,2,423.8
12,window,low,3,342.1
12,window,low,4,356.2
12,window,low,5,552.7
12,window,low,6,335.5
12,window,low,7,398.3
12,window,low,8,313.4
12,window,low,9,605.8
12,window,low,10,324.5
12,window,low,11,321.7
12,window,low,12,386.3
12,window,high,13,403.4
12,window,high,14,359.6
12,window,high,15,349.6
12,window,high,16,287.5
12,window,high,17,339.6
12,window,high,18,291.8
12,window,high,19,294.2
12,window,high,20,298.6
12,window,high,21,349.6
12,window,high,22,344
12,window,high,23,472.2
12,window,high,24,605.8
13,window,low,1,399.5
13,window,low,2,433.6
13,window,low,3,300.5
13,window,low,4,248.2
13,window,low,5,412.8
13,window,low,6,441.8
13,window,low,7,344.2
13,window,low,8,440.9
13,window,low,9,462.5
13,window,low,10,412.3
13,window,low,11,339.6
13,window,low,12,277
13,window,high,13,251
13,window,high,14,429.8
13,window,high,15,435
13,window,high,16,459.4
13,window,high,17,396.1
13,window,high,18,358.9
13,window,high,19,698
13,window,high,20,375.7
13,window,high,21,298
13,window,high,22,653.2
13,window,high,23,452.3
13,window,high,24,530.5
14,window,low,1,326.7
14,window,low,2,410.8
14,window,low,3,354.2
14,window,low,4,492.4
14,window,low,5,1573
14,window,low,6,2121.8
14,window,low,7,381.7
14,window,low,8,393.9
14,window,low,9,1737.8
14,window,low,10,1417.5
14,window,low,11,1897.6
14,window,low,12,562.1
14,window,high,13,467.7
14,window,high,14,392.1
14,window,high,15,346.3
14,window,high,16,362.6
14,window,high,17,664.5
14,window,high,18,359.9
14,window,high,19,2121.8
14,window,high,20,226.5
14,window,high,21,319.6
14,window,high,22,419.8
14,window,high,23,252.8
14,window,high,24,806.6
15,window,low,1,230.4
15,window,low,2,221.3
15,window,low,3,252.4
15,window,low,4,539.1
15,window,low,5,267.6
15,window,low,6,211.7
15,window,low,7,581.5
15,window,low,8,179.3
15,window,low,9,581.5
15,window,low,10,283.1
15,window,low,11,249.7
15,window,low,12,235.6
15,window,high,13,279.3
15,window,high,14,215
15,window,high,15,250
15,window,high,16,250
15,window,high,17,281.7
15,window,high,18,259.7
15,window,high,19,206.5
15,window,high,20,279.7
15,window,high,21,228.3
15,window,high,22,193.2
15,window,high,23,241.8
15,window,high,24,263.9
16,window,low,1,128.4
16,window,low,2,250
16,window,low,3,230.9
16,window,low,4,190.1
16,window,low,5,82.6
16,window,low,6,108
16,window,low,7,259.4
16,window,low,8,210.8
16,window,low,10,150.2
16,window,low,11,160.2
16,window,low,12,111.3
16,window,high,13,149.3
16,window,high,14,202.6
