subj,task,attach_site,itemN,rt
51,maze,low,16,659.5
51,maze,low,17,1321.7
51,maze,low,18,554.3
51,maze,low,20,1223.6
51,maze,low,21,707.2
51,maze,low,22,559.3
51,maze,low,23,853
51,maze,low,24,1038.5
51,maze,high,1,798.5
51,maze,high,2,521.5
51,maze,high,3,1128.9
51,maze,high,5,885.9
51,maze,high,6,783.9
51,maze,high,8,515
51,maze,high,9,569.3
51,maze,high,10,651
51,maze,high,11,625.3
52,maze,low,13,867.2
52,maze,low,14,598.9
52,maze,low,15,765.5
52,maze,low,16,978.8
52,maze,low,17,942.7
52,maze,low,18,625.8
52,maze,low,19,1177.1
52,maze,low,20,669.2
52,maze,low,21,740
52,maze,low,22,1786.1
52,maze,low,23,968.9
52,maze,high,1,1756.1
52,maze,high,2,834.6
52,maze,high,3,984.2
52,maze,high,4,855.2
52,maze,high,6,726.8
52,maze,high,7,1024.8
52,maze,high,8,1062
52,maze,high,9,1786.1
52,maze,high,10,845.4
52,maze,high,11,790.2
52,maze,high,12,689.1
53,maze,low,13,1552.5
53,maze,low,14,1109.2
53,maze,low,15,1188.2
53,maze,low,16,1593
53,maze,low,17,1250.4
53,maze,low,18,1564.3
53,maze,low,19,860.9
53,maze,low,21,990.4
53,maze,low,22,1302.4
53,maze,low,23,2339.8
53,maze,high,1,1196.8
53,maze,high,2,1167.8
53,maze,high,3,2249.6
53,maze,high,7,2277.1
53,maze,high,8,925.2
53,maze,high,9,1728.4
53,maze,high,10,985
53,maze,high,12,1132.1
54,maze,low,13,565.7
54,maze,low,14,664.7
54,maze,low,16,689.1
54,maze,low,17,1065
54,maze,low,18,619.2
54,maze,low,19,637.7
54,maze,low,20,839
54,maze,low,21,1582.3
54,maze,low,22,478
54,maze,low,23,1068.7
54,maze,low,24,771.3
54,maze,high,1,776.2
54,maze,high,2,786.3
54,maze,high,3,878.9
54,maze,high,5,1220.4
54,maze,high,6,710.4
54,maze,high,7,1017.9
54,maze,high,8,858.4
54,maze,high,10,699.1
54,maze,high,11,678.5
55,maze,low,13,800.2
55,maze,low,14,948.8
55,maze,low,15,759
55,maze,low,16,1128.2
55,maze,low,17,911.6
55,maze,low,18,615.4
55,maze,low,19,788
55,maze,low,20,910.1
55,maze,low,21,708.3
55,maze,low,22,569.1
55,maze,low,23,980.3
55,maze,low,24,858.9
55,maze,high,1,702.7
55,maze,high,2,759
55,maze,high,3,642
55,maze,high,4,842.6
55,maze,high,5,1108.6
55,maze,high,6,1196.8
55,maze,high,7,1161.3
55,maze,high,8,798.7
55,maze,high,9,968.3
55,maze,high,10,805.5
55,maze,high,11,782.6
55,maze,high,12,711.8
56,maze,low,13,831.1
56,maze,low,14,724.7
56,maze,low,15,840.3
56,maze,low,16,893.2
56,maze,low,17,853.8
56,maze,low,18,1356.3
56,maze,low,19,1939.8
56,maze,low,20,843.9
56,maze,low,21,1939.8
56,maze,low,22,907
56,maze,low,23,787.8
56,maze,low,24,807.8
56,maze,high,1,1172.9
56,maze,high,2,939
56,maze,high,3,1057.8
56,maze,high,4,749.1
56,maze,high,6,855.4
56,maze,high,7,966.4
56,maze,high,8,799.6
56,maze,high,9,690.5
56,maze,high,10,709.1
56,maze,high,11,1273.6
56,maze,high,12,791.2
57,maze,low,14,551.6
57,maze,low,15,1080.7
57,maze,low,17,655.7
57,maze,low,18,529.6
57,maze,low,19,825.5
57,maze,low,20,705.8
57,maze,low,21,421.6
57,maze,low,22,655.9
57,maze,low,23,1106.5
57,maze,low,24,766.5
57,maze,high,1,671.2
57,maze,high,2,819
57,maze,high,3,1151.7
57,maze,high,4,1396.5
57,maze,high,8,501.1
57,maze,high,9,1068.9
57,maze,high,10,1176.1
57,maze,high,11,549.1
57,maze,high,12,740.3
58,maze,low,14,816.8
58,maze,low,15,1108.6
58,maze,low,17,674.4
58,maze,low,18,1440.3
58,maze,low,19,699.1
58,maze,low,20,624.1
58,maze,low,21,980.3
58,maze,low,22,895.2
58,maze,low,23,709
58,maze,low,24,985.1
58,maze,high,1,1050
58,maze,high,2,1059.7
58,maze,high,3,791.9
58,maze,high,4,2688.6
58,maze,high,5,1049.1
58,maze,high,6,909.8
58,maze,high,7,2689
58,maze,high,9,1017
58,maze,high,10,1363.2
58,maze,high,11,689.1
58,maze,high,12,664.9
59,maze,low,13,669.6
59,maze,low,14,860.8
59,maze,low,15,658.2
59,maze,low,16,634
59,maze,low,17,673.5
59,maze,low,19,559
59,maze,low,21,810.4
59,maze,low,22,634.5
59,maze,low,23,701
59,maze,low,24,647
59,maze,high,1,710.5
59,maze,high,2,754.2
59,maze,high,3,612
59,maze,high,4,1252.5
59,maze,high,6,1252.5
59,maze,high,8,539.6
59,maze,high,9,584.2
59,maze,high,10,868.6
59,maze,high,11,823.7
59,maze,high,12,549.7
60,maze,low,13,592.7
60,maze,low,14,737.7
60,maze,low,15,554.9
60,maze,low,17,704.9
60,maze,low,18,1043.4
60,maze,low,19,655.1
60,maze,low,20,656.1
60,maze,low,21,702
60,maze,low,22,517.4
60,maze,low,23,724.1
60,maze,low,24,682
60,maze,high,1,863.9
60,maze,high,2,621.8
60,maze,high,3,606.5
60,maze,high,4,763.8
60,maze,high,6,744.6
60,maze,high,7,950.9
60,maze,high,8,754.1
60,maze,high,9,708.7
60,maze,high,10,812
60,maze,high,11,668.4
61,maze,low,13,847.4
61,maze,low,14,1430.2
61,maze,low,16,548.5
61,maze,low,17,1217.8
61,maze,low,18,789
61,maze,low,20,1127.7
61,maze,low,21,1129.7
61,maze,low,22,744.9
61,maze,low,23,1229
61,maze,low,24,1278.4
61,maze,high,2,667.6
61,maze,high,3,902.7
61,maze,high,4,728.2
61,maze,high,5,791.3
61,maze,high,6,714
61,maze,high,8,1081.5
61,maze,high,10,940.6
61,maze,high,11,1546.5
61,maze,high,12,1137.1
62,maze,low,14,725.6
62,maze,low,15,882.4
62,maze,low,16,973.7
62,maze,low,17,888.9
62,maze,low,18,899.1
62,maze,low,19,924.2
62,maze,low,21,879.2
62,maze,low,22,779
62,maze,low,23,1063.7
62,maze,low,24,766.8
62,maze,high,1,872.4
62,maze,high,2,968.5
62,maze,high,3,718.4
62,maze,high,5,1285.7
62,maze,high,6,1078.6
62,maze,high,7,1119.2
62,maze,high,8,679.4
62,maze,high,10,741.6
62,maze,high,11,749.6
62,maze,high,12,619.2
63,maze,low,13,1421.4
63,maze,low,14,691
63,maze,low,15,907.7
63,maze,low,16,2163
63,maze,low,17,1721.5
63,maze,low,18,823.4
63,maze,low,19,958.9
63,maze,low,20,2163
63,maze,low,21,712.8
63,maze,low,22,1856.7
63,maze,low,23,848.9
63,maze,low,24,863
63,maze,high,1,714
63,maze,high,2,885.7
63,maze,high,4,1093.5
63,maze,high,5,1068.7
63,maze,high,6,739.5
63,maze,high,7,815.8
63,maze,high,8,1076.2
63,maze,high,9,1802
63,maze,high,10,733.1
63,maze,high,11,1664.8
63,maze,high,12,1209.7
64,maze,low,13,534.2
64,maze,low,15,696.9
64,maze,low,16,600.8
64,maze,low,17,920
64,maze,low,18,619.3
64,maze,low,19,459.9
64,maze,low,20,733.2
64,maze,low,21,610
64,maze,low,22,586.6
64,maze,low,23,579.4
64,maze,low,24,830.2
64,maze,high,1,639.3
64,maze,high,2,629.8
64,maze,high,3,907.7
64,maze,high,4,702.2
64,maze,high,5,891.7
64,maze,high,6,677.5
64,maze,high,7,780.4
64,maze,high,8,688.4
64,maze,high,9,588.9
64,maze,high,10,567.3
64,maze,high,11,898.9
64,maze,high,12,497.4
